Latitude,Longitude,2023 Rides,2022 Rides,2021 Rides,2020 Rides,2019 Rides,2018 Rides,2017 Rides,Municipality,Municipality
42.0651° N,71.2473° W,92176,63176,40622,28732,82113,69507,45633,Foxborough,Foxborough
42.2793° N,71.4162° W,553388,379571,276077,255902,538429,442384,321244,Framingham,Framingham
42.0834° N,71.4001° W,55056,32776,22634,20208,45935,30815,19788,Franklin,Franklin
41.7834° N,70.9334° W,8376,5147,3286,2499,2697,1678,889,Freetown,Freetown
42.5751° N,71.9951° W,9359,6290,3378,3757,7769,4063,1691,Gardner,Gardner
42.7251° N,70.9915° W,7274,4876,3530,2630,5673,3687,2488,Georgetown,Georgetown
42.6334° N,70.9915° W,64,25,11,17,110,137,119,Gill,Gill
42.6159° N,70.6619° W,31983,18474,10510,10283,28338,18491,8815,Gloucester,Gloucester
42.4434° N,72.7834° W,7,2,2,6,22,21,14,Goshen,Goshen
41.4817° N,70.7569° W,0,0,0,0,0,1,0,Gosnold,Gosnold
42.2070° N,71.6856° W,27537,17789,11170,10350,23881,19305,12281,Grafton,Grafton
42.2634° N,72.5201° W,2704,1860,693,1422,4092,3371,2490,Granby,Granby
42.0623° N,72.8615° W,10,4,3,8,23,86,35,Granville,Granville
42.1956° N,73.3623° W,155,129,62,62,427,445,351,Great Barrington,Great Barrington
42.5876° N,72.5995° W,905,650,343,584,2455,1977,1489,Greenfield,Greenfield
42.6112° N,71.5745° W,5008,3417,2237,2042,5443,3327,1943,Groton,Groton
42.7501° N,71.0323° W,7120,4214,2702,2039,3599,2595,1903,Groveland,Groveland
42.3412° N,72.5912° W,32468,24809,11485,15015,59412,55563,40317,Hadley,Hadley
41.9912° N,70.8612° W,7101,4691,3191,2711,5659,2917,2029,Halifax,Halifax
42.6395° N,70.8615° W,8576,5904,3790,3292,9001,5976,3630,Hamilton,Hamilton
42.0645° N,72.4315° W,1440,780,319,642,2857,2897,1501,Hampden,Hampden
42.5595° N,73.2701° W,29,51,23,35,185,186,121,Hancock,Hancock
42.1165° N,70.8112° W,40222,25777,18509,14349,28725,20272,13163,Hanover,Hanover
42.0665° N,70.8501° W,14002,8881,6496,5289,9962,6417,4012,Hanson,Hanson
42.3512° N,72.2012° W,22,12,4,5,9,13,12,Hardwick,Hardwick
42.5001° N,71.6001° W,7832,5467,3596,3322,7434,4080,2071,Harvard,Harvard
41.6865° N,70.0712° W,38990,31725,23113,12472,36179,28739,20683,Harwich,Harwich
42.3695° N,72.6045° W,1253,930,424,602,2054,1569,1535,Hatfield,Hatfield
42.7762° N,71.0773° W,406376,294590,214714,163499,263065,171284,104076,Haverhill,Haverhill
42.5795° N,72.8251° W,1,0,0,0,0,0,0,Hawley,Hawley
42.6734° N,72.7895° W,0,0,0,0,0,0,0,Heath,Heath
42.2412° N,70.8895° W,98137,72552,45466,37685,95464,71492,46794,Hingham,Hingham
42.4384° N,73.1201° W,166,88,11,12,157,129,57,Hinsdale,Hinsdale
42.1456° N,71.0203° W,69848,48370,36822,30577,48893,35015,23171,Holbrook,Holbrook
42.3512° N,71.8578° W,17670,11169,5967,5966,15937,13527,8938,Holden,Holden
42.0501° N,72.1578° W,49,26,8,12,46,19,9,Holland,Holland
42.2001° N,71.4245° W,13593,9417,6491,6026,13295,8398,5614,Holliston,Holliston
42.2043° N,72.6162° W,149139,98079,52153,71326,164750,122924,74232,Holyoke,Holyoke
42.1273° N,71.5373° W,3123,1644,1345,1622,3513,2228,988,Hopedale,Hopedale
42.2284° N,71.5223° W,19846,13271,8541,8265,20507,13636,8373,Hopkinton,Hopkinton
42.4734° N,72.0001° W,137,124,67,71,115,91,60,Hubbardston,Hubbardston
42.3912° N,71.5665° W,39479,26341,17539,19322,40837,27905,16573,Hudson,Hudson
42.3045° N,70.9078° W,18215,13408,9090,8275,18684,12325,7075,Hull,Hull
42.2434° N,72.8734° W,15,2,2,3,28,28,12,Huntington,Huntington
42.6795° N,70.8412° W,10956,9422,5577,5529,11180,7212,4632,Ipswich,Ipswich
41.9945° N,70.7245° W,34718,20299,14275,11896,24840,18179,10574,Kingston,Kingston
41.8456° N,70.9434° W,12820,8393,5052,3904,6883,4749,2591,Lakeville,Lakeville
42.4501° N,71.6801° W,4682,3350,2158,2632,4120,2594,1424,Lancaster,Lancaster
42.5434° N,73.2301° W,248,202,53,162,707,901,466,Lanesborough,Lanesborough
42.7070° N,71.1631° W,799967,549327,418634,340238,564928,454682,350752,Lawrence,Lawrence
42.3045° N,73.2489° W,320,270,116,262,1309,1693,801,Lee,Lee
42.2465° N,71.9065° W,18783,12163,7599,8042,16324,10046,5995,Leicester,Leicester
42.3562° N,73.2845° W,1049,862,378,654,3886,4137,2178,Lenox,Lenox
42.5251° N,71.7595° W,112401,69325,47226,54460,109255,68291,31382,Leominster,Leominster
42.4523° N,72.5001° W,279,217,51,70,486,405,294,Leverett,Leverett
42.4473° N,71.2245° W,180430,132342,76849,68235,208892,165044,122112,Lexington,Lexington
42.7034° N,72.6301° W,1,0,1,0,0,0,0,Leyden,Leyden
42.4251° N,71.3034° W,24724,19102,12266,9755,23681,17709,12847,Lincoln,Lincoln
42.5373° N,71.5123° W,19050,12120,7747,6777,18170,11165,6852,Littleton,Littleton
42.0501° N,72.5823° W,15039,11277,5113,6505,19945,15606,11785,Longmeadow,Longmeadow
42.6334° N,71.3162° W,1094246,793136,572755,482809,835423,677225,490389,Lowell,Lowell
42.1601° N,72.4765° W,15520,9664,4499,6345,16613,12432,7748,Ludlow,Ludlow
42.5934° N,71.7251° W,8290,5601,4015,4842,9328,6813,2631,Lunenburg,Lunenburg
42.4668° N,70.9495° W,1117875,789272,606745,546818,939354,740885,549822,Lynn,Lynn
42.5384° N,71.0489° W,56161,41596,27160,21043,51901,40948,31028,Lynnfield,Lynnfield
42.4251° N,71.0662° W,1096220,868243,641059,591527,1321495,1189082,906043,Malden,Malden
